,Ligand Name,Energy,LogP,MolWt,Complexity,Center of mass
519,output52_ligand861_2023-11-21-14:35,-8.116,2.3316000000000017,294.21949481999997,1.6044491333090196,[27.29011884 43.44750151 31.2649051 ]
520,output44_ligand800_2023-11-21-14:35,-8.115,6.39550000000001,460.3916455239999,1.5516214886615702,[31.57414817 45.34626098 28.56128197]
521,output413_ligand15_2023-11-21-14:35,-8.114,0.0,0.0,0.0,"[0, 0, 0]"
522,output52_ligand931_2023-11-21-14:35,-8.114,2.9152000000000005,336.27767839200004,1.6399812661384077,[23.66487147 43.19342241 31.72757953]
523,output417_ligand452_2023-11-21-14:35,-8.113,0.0,0.0,0.0,"[0, 0, 0]"
524,output12_ligand25_2023-11-21-14:35,-8.113,0.302400000000002,381.31037548800003,1.2791910861356637,[38.46121181 27.75917195 44.94863971]
525,output52_ligand425_2023-11-21-14:35,-8.113,1.4163000000000041,593.3280763519999,1.233785941341029,[28.24601136 48.19066164 34.31855601]
526,output52_ligand772_2023-11-21-14:35,-8.113,1.2143999999999997,253.21541248399998,1.7209149453799464,[25.65894289 42.83094056 31.88243089]
527,output26_ligand887_2023-11-21-14:35,-8.112,4.260600000000004,266.2245802,1.4658376531485038,[30.17736649 29.34666771 31.4102963 ]
528,output413_ligand289_2023-11-21-14:35,-8.109,2.799800000000001,460.37772677600003,1.0982620110221137,[32.23417582 46.32828448 28.5847226 ]
529,output26_ligand174_2023-11-21-14:35,-8.109,2.6221000000000005,369.24499836,1.3316015919689816,[31.46406863 30.6892667  30.9954642 ]
530,output52_ligand69_2023-11-21-14:35,-8.108,0.0,0.0,0.0,"[0, 0, 0]"
531,output12_ligand329_2023-11-21-14:35,-8.108,1.7983999999999996,398.27154745599995,1.2506778581716231,[40.06174894 27.72142098 46.05016827]
532,output44_ligand94_2023-11-21-14:35,-8.107,0.0,0.0,0.0,"[0, 0, 0]"
533,output44_ligand1_2023-11-21-14:35,-8.106,-0.1916999999999991,374.2693192,1.5327966804587214,[34.2852313  44.84265925 28.38076652]
534,output44_ligand47_2023-11-21-14:35,-8.104,3.2824000000000018,519.3342072879999,1.4250320581098546,[29.40532947 46.37774799 29.88036754]
535,output26_ligand329_2023-11-21-14:35,-8.104,1.7983999999999996,398.27154745599995,1.2506778581716231,[31.14705579 46.72249327 30.55376321]
536,output52_ligand443_2023-11-21-14:35,-8.103,1.1034999999999997,433.20689859999993,1.6121898048838483,[28.00287505 46.37859045 32.37949299]
537,output26_ligand308_2023-11-21-14:35,-8.103,0.0,0.0,0.0,"[0, 0, 0]"
538,output417_ligand368_2023-11-21-14:35,-8.099,5.1627000000000045,546.4196718399999,1.3525955956269964,[27.76694992 46.96978107 31.81727084]
539,output44_ligand202_2023-11-21-14:35,-8.098,0.0,0.0,0.0,"[0, 0, 0]"
540,output52_ligand245_2023-11-21-14:35,-8.098,-2.7200999999999933,371.25325453600004,1.4668945722242386,[26.62555469 44.41893426 32.06379475]
541,output413_ligand887_2023-11-21-14:35,-8.097,4.260600000000004,266.2245802,1.4658376531485038,[32.7640455  43.88494716 28.51811451]
542,output52_ligand366_2023-11-21-14:35,-8.097,-0.010999999999999455,374.235161948,1.4549100854897328,[26.32540893 44.83601053 32.22596703]
543,output413_ligand165_2023-11-21-14:35,-8.096,1.7724999999999995,408.29880775999993,1.4299303512073118,[34.11339278 45.60442456 28.73097289]
544,output44_ligand300_2023-11-21-14:35,-8.095,-0.5624999999999973,359.235496296,1.4234346036277956,[34.54372785 44.74325584 28.33689793]
545,output44_ligand162_2023-11-21-14:35,-8.094,2.356299999999999,368.30389314,1.6376514818120798,[33.63873547 44.46947195 27.40311292]
546,output44_ligand263_2023-11-21-14:35,-8.094,0.9438000000000002,387.30970679200004,1.67835521835739,[33.63111988 45.29765499 28.60735526]
547,output26_ligand9_2023-11-21-14:35,-8.094,0.9034999999999993,369.2515232199999,1.6030917798146023,[29.36835929 30.83911098 31.78030626]
548,output44_ligand151_2023-11-21-14:35,-8.092,2.8801000000000005,280.251463644,1.5257037774040336,[33.8166929  43.70664447 27.67929292]
549,output44_ligand392_2023-11-21-14:35,-8.089,3.047200000000001,416.351512028,1.28445785974181,[28.14759669 45.58325189 30.6518817 ]
550,output52_ligand73_2023-11-21-14:35,-8.089,0.0,0.0,0.0,"[0, 0, 0]"
551,output413_ligand226_2023-11-21-14:35,-8.088,0.0,0.0,0.0,"[0, 0, 0]"
552,output44_ligand381_2023-11-21-14:35,-8.088,3.2727000000000013,472.2970935079999,1.242449803003002,[37.72806762 46.51063643 25.78295386]
